DGNu = [[1, 1.00621, 1.01196, 1.01368, 1.01387, 1, 1.00746, 1.01227, 1.01354, 1, 1.00733, 1.01167, 1, 1.00594, 1, ],
[1.0146, 1.01448, 1.01424, 1.014, 1.01387, 1.01419, 1.01386, 1.01367, 1.01368, 1.01206, 1.01144, 1.01195, 1.00608, 1.00621, 1, ],
[1, 1.00594, 1.01167, 1.01354, 1.01387, 1.00579, 1.01094, 1.01322, 1.01375, 1.01131, 1.01299, 1.01351, 1.01296, 1.01327, 1.01316, ],
[1.01452, 1.01443, 1.01425, 1.01405, 1.01387, 1.01457, 1.01446, 1.01426, 1.014, 1.01465, 1.01452, 1.01424, 1.01469, 1.01448, 1.0146, ],
[1, 1.00638, 1.01238, 1.01434, 1.0146, 1, 1.00767, 1.01272, 1.01419, 1, 1.00752, 1.01206, 1, 1.00608, 1, ],
[1.01316, 1.01327, 1.01351, 1.01375, 1.01387, 1.01333, 1.01353, 1.01377, 1.01393, 1.01353, 1.01372, 1.0139, 1.01371, 1.01384, 1.0138, ],
[1, 1.00579, 1.01131, 1.01296, 1.01316, 1, 1.00698, 1.01162, 1.01285, 1, 1.00688, 1.01105, 1, 1.00557, 1, ],
[1.0138, 1.01384, 1.0139, 1.01393, 1.01387, 1.01392, 1.014, 1.01407, 1.01405, 1.01415, 1.01424, 1.01425, 1.01439, 1.01443, 1.01452, ],
[1.0146, 1.01481, 1.01503, 1.0152, 1.01529, 1.01469, 1.01484, 1.015, 1.01515, 1.01465, 1.01475, 1.0149, 1.01457, 1.01465, 1.01452, ],
[1, 1.00665, 1.01294, 1.01514, 1.01556, 1.00638, 1.01206, 1.01471, 1.01539, 1.01238, 1.01439, 1.01507, 1.01434, 1.01476, 1.0146, ],
[1.0138, 1.01369, 1.01346, 1.01325, 1.01314, 1.01371, 1.01353, 1.01331, 1.01317, 1.01353, 1.01336, 1.0132, 1.01333, 1.01322, 1.01316, ],
[1.01316, 1.01304, 1.01284, 1.01264, 1.01253, 1.01285, 1.01257, 1.01239, 1.01238, 1.01105, 1.01043, 1.01085, 1.00557, 1.00555, 1, ],
[1.0138, 1.01392, 1.01415, 1.01439, 1.01452, 1.01389, 1.01407, 1.0143, 1.01448, 1.01405, 1.01424, 1.01441, 1.01422, 1.01435, 1.01431, ],
[1.0146, 1.01476, 1.01507, 1.01539, 1.01555, 1.01481, 1.01507, 1.01538, 1.01561, 1.01503, 1.01527, 1.01551, 1.0152, 1.01537, 1.01529, ],
[1.01529, 1.01523, 1.01513, 1.01504, 1.01499, 1.01515, 1.01504, 1.01494, 1.0149, 1.0149, 1.01479, 1.01474, 1.01465, 1.01459, 1.01452, ],
[1.00001, 1.00697, 1.0133, 1.0153, 1.01555, 1, 1.00835, 1.01363, 1.01514, 1, 1.0082, 1.01295, 1, 1.00665, 1, ],
[1.0137, 1.0136, 1.01341, 1.01323, 1.01314, 1.01372, 1.01359, 1.0134, 1.01325, 1.01375, 1.01362, 1.01346, 1.01378, 1.01369, 1.0138, ],
[1.01314, 1.01305, 1.01288, 1.01269, 1.01253, 1.01317, 1.01305, 1.01286, 1.01264, 1.0132, 1.01307, 1.01284, 1.01322, 1.01304, 1.01316, ],
[1, 1.00555, 1.01085, 1.01238, 1.01253, 1, 1.00671, 1.01116, 1.01228, 1, 1.00663, 1.01064, 1, 1.00537, 1, ],
[1.01452, 1.01459, 1.01474, 1.0149, 1.01499, 1.01448, 1.01457, 1.01472, 1.01487, 1.01441, 1.0145, 1.01464, 1.01435, 1.01443, 1.01431, ],
[1.0137, 1.01372, 1.01375, 1.01378, 1.0138, 1.0138, 1.01385, 1.01389, 1.01389, 1.014, 1.01405, 1.01405, 1.01421, 1.01422, 1.01431, ],
[1.01555, 1.01576, 1.01593, 1.01607, 1.01614, 1.01561, 1.01572, 1.01585, 1.01598, 1.01551, 1.01558, 1.0157, 1.01537, 1.01543, 1.01529, ],
[1.01578, 1.01564, 1.01538, 1.01512, 1.01499, 1.01568, 1.01548, 1.01522, 1.01504, 1.01552, 1.01532, 1.01513, 1.01536, 1.01523, 1.01529, ],
[1, 1.00522, 1.01135, 1.01444, 1.01535, 1.00697, 1.01181, 1.01454, 1.0155, 1.01329, 1.01497, 1.01565, 1.0153, 1.01562, 1.01555, ],
[1.0137, 1.01361, 1.01345, 1.01329, 1.01321, 1.0136, 1.01346, 1.0133, 1.0132, 1.01341, 1.01327, 1.01317, 1.01323, 1.01315, 1.01314, ],
[1.01264, 1.01263, 1.01263, 1.01261, 1.01253, 1.01272, 1.01274, 1.01274, 1.01269, 1.01288, 1.01291, 1.01288, 1.01305, 1.01305, 1.01314, ],
[1.01253, 1.01247, 1.01235, 1.01222, 1.01216, 1.01228, 1.01215, 1.01209, 1.01206, 1.01064, 1.01058, 1.01129, 1.00537, 1.00635, 1, ],
[1.01431, 1.01443, 1.01464, 1.01487, 1.01499, 1.0144, 1.01458, 1.0148, 1.01496, 1.01457, 1.01475, 1.01491, 1.01475, 1.01487, 1.01484, ],
[1.01421, 1.01412, 1.01395, 1.01378, 1.0137, 1.01423, 1.01411, 1.01394, 1.0138, 1.01426, 1.01415, 1.014, 1.01429, 1.01421, 1.01431, ],
