[1.00015, 1.00012, 1.00008, 1.00017, 1.00013, 1.00018, ],
[1.00076, 1.00076, 1.00068, 1.00064, 1.00062, 1.00052, ],
[1, 1.00001, 1.00002, 1, 1, 1, ],
[1.00057, 1.00051, 1.00044, 1.0007, 1.00054, 1.00053, ],
[1.00074, 1.0006, 1.00053, 1.00077, 1.00062, 1.0006, ],
[1, 1.0005, 1.00044, 1, 1.00064, 1, ],
[1.00068, 1.00083, 1.00086, 1.00068, 1.00073, 1.0006, ],
[1.00034, 1.00031, 1.00029, 1.00025, 1.00023, 1.00018, ],
[1.00043, 1.00036, 1.00029, 1.00046, 1.00038, 1.00048, ],
[1.00066, 1.00064, 1.00058, 1.00053, 1.00051, 1.00043, ],
[1.00086, 1.00084, 1.00076, 1.00072, 1.00069, 1.00058, ],
[1.00009, 1.00009, 1.00008, 1.00005, 1.00005, 1.00002, ],
[1.00018, 1.00013, 1.00008, 1.00014, 1.00009, 1.00009, ],
[1.00076, 1.00092, 1.00097, 1.00076, 1.00081, 1.00068, ],
[1.00002, 1.00003, 1.00002, 1, 1.00001, 1, ],
[1, 1.00065, 1.00044, 1.0008, 1.00051, 1.00057, ],
[1.00074, 1.00084, 1.00057, 1.0006, 1.0007, 1.00053, ],
[1.00086, 1.0009, 1.00074, 1.00073, 1.00077, 1.0006, ],
[1.00068, 1.00081, 1.00097, 1.00083, 1.00099, 1.00086, ],
[1.00048, 1.00038, 1.00029, 1.00041, 1.00031, 1.00034, ],
[1.00034, 1.00025, 1.00018, 1.00027, 1.0002, 1.00021, ],
[1.00066, 1.00053, 1.00043, 1.00057, 1.00046, 1.00048, ],
[1.00066, 1.00077, 1.00086, 1.00064, 1.00072, 1.00058, ],
[1.00086, 1.001, 1.00108, 1.00084, 1.00092, 1.00076, ],
[1.00009, 1.00005, 1.00002, 1.00006, 1.00003, 1.00002, ],
[1.00018, 1.00014, 1.00009, 1.0002, 1.00015, 1.00021, ],
[1.00108, 1.00107, 1.00097, 1.00092, 1.00092, 1.00076, ],
[1, 1.00001, 1.00002, 1, 1, 1, ],
[1.00057, 1.00089, 1.00102, 1.0008, 1.00073, 1, ],
[1.00074, 1.00096, 1.00099, 1.00084, 1.00078, 1.00057, ],
[1.00086, 1.00108, 1.00108, 1.0009, 1.0009, 1.00074, ],
[1.00097, 1.00115, 1.00122, 1.00099, 1.00102, 1.00086, ],
[1.00053, 1.00051, 1.00048, 1.00043, 1.00041, 1.00034, ],
[1.00034, 1.00027, 1.00021, 1.00035, 1.00029, 1.00037, ],
[1.00073, 1.0007, 1.00066, 1.00059, 1.00057, 1.00048, ],
